FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Element,Tab,currentQuestion,Fixation Dispersion
1,782.9866,233.6435,2862604.4215,2862612.752,8.3305,,cca_main.bpmn,1,
2,699.2704,87.447,2862662.785,2862679.411,16.626,answer_area_for_questionID_1,cca_main.bpmn,1,0.224
3,693.218,72.2649,2862696.078,2862704.409,8.331,title-for-questionID_1,cca_main.bpmn,1,
4,683.7527,70.0899,2862712.764,2862721.097,8.333,title-for-questionID_1,cca_main.bpmn,1,
5,689.1626,63.9847,2862729.406,2862754.4345,25.0285,title-for-questionID_1,cca_main.bpmn,1,1.167
6,689.4333,71.5738,2862762.7915,2862771.113,8.3215,title-for-questionID_1,cca_main.bpmn,1,
7,690.4479,58.7656,2862787.7755,2862829.3955,41.62,title-for-questionID_1,cca_main.bpmn,1,0.564
8,696.4829,60.1275,2862837.7295,2862846.0665,8.337,title-for-questionID_1,cca_main.bpmn,1,
9,689.6327,56.6004,2862854.3965,2862871.061,16.6645,title-for-questionID_1,cca_main.bpmn,1,0.4034
10,536.1521,42.4712,2862921.064,2862929.4305,8.3665,title-for-questionID_1,cca_main.bpmn,1,
11,537.1324,36.2579,2862962.767,2862996.047,33.28,,cca_main.bpmn,1,0.3118
12,100.6097,219.1009,2863096.053,2863104.376,8.323,file-explorer-area,cca_main.bpmn,1,
13,114.3119,263.014,2863146.035,2863154.3665,8.3315,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,
14,121.5949,276.7976,2863162.69,2863171.022,8.332,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,
15,136.8853,271.4662,2863179.3545,2863187.6865,8.332,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,
16,122.7974,291.0376,2863196.0195,2863204.3625,8.343,file-explorer-file_cca_2_createcustomer.bpmn,cca_main.bpmn,1,
17,135.6167,277.3509,2863212.7055,2863237.702,24.9965,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,1.7927
18,134.2859,268.6104,2863254.378,2863321.04,66.662,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,1.6156
19,118.2832,231.7865,2863346.0195,2863379.386,33.3665,file-explorer-file_cca_main.bpmn,cca_main.bpmn,1,1.2413
20,105.2169,221.2615,2863387.7085,2863404.3635,16.655,file-explorer-area,cca_main.bpmn,1,0.0036
21,92.4078,242.4035,2863412.681,2863421.0605,8.3795,file-explorer-file_cca_main.bpmn,cca_main.bpmn,1,
22,116.2392,230.0533,2863429.4245,2863479.3205,49.896,file-explorer-file_cca_main.bpmn,cca_main.bpmn,1,1.211
23,132.1256,237.1297,2863504.351,2863529.3295,24.9785,file-explorer-file_cca_main.bpmn,cca_main.bpmn,1,1.7778
24,136.3022,260.8257,2863537.6735,2863587.659,49.9855,file-explorer-file_cca_1_validatecustomerdata.bpmn,cca_main.bpmn,1,1.8961
25,640.2197,106.3994,2863887.6095,2863895.9415,8.332,answer_area_for_questionID_1,cca_main.bpmn,1,
26,640.9024,92.3614,2863912.6535,2863920.9835,8.33,answer_area_for_questionID_1,cca_main.bpmn,1,
27,641.0489,112.5551,2863937.62,2863954.343,16.723,answer_area_for_questionID_1,cca_main.bpmn,1,0.4528
28,646.5342,110.4807,2863979.3325,2863995.93,16.5975,answer_area_for_questionID_1,cca_main.bpmn,1,0.5725
29,647.0526,99.7445,2864012.595,2864029.3015,16.7065,answer_area_for_questionID_1,cca_main.bpmn,1,0.4238
30,540.6528,44.9044,2864087.64,2864112.6365,24.9965,title-for-questionID_1,cca_main.bpmn,1,0.9409
31,534.5636,25.4487,2864129.2465,2864137.5795,8.333,,cca_main.bpmn,1,
33,528.0376,44.89,2864212.5725,2864220.9625,8.39,title-for-questionID_1,cca_main.bpmn,1,
34,538.3272,33.4309,2864254.2735,2864279.231,24.9575,,cca_main.bpmn,1,1.0769
35,540.0988,32.2003,2864287.563,2864320.9445,33.3815,,cca_main.bpmn,1,0.5292
36,531.3047,34.8448,2864329.276,2864337.5755,8.2995,,cca_main.bpmn,1,
37,604.2014,30.9317,2864370.941,2864387.5525,16.6115,,cca_main.bpmn,1,0.4116
38,603.1818,25.193,2864395.884,2864454.2125,58.3285,,cca_main.bpmn,1,1.1133
39,606.1371,25.6206,2864462.544,2864520.921,58.377,,cca_main.bpmn,1,0.6229
40,604.8491,29.0787,2864529.309,2864587.573,58.264,,cca_main.bpmn,1,0.9672
41,662.8219,31.1927,2864620.8755,2864629.207,8.3315,,cca_main.bpmn,1,
42,659.3283,35.8116,2864637.5225,2864720.8495,83.327,,cca_main.bpmn,1,1.0641
44,706.503,39.1037,2864891.684,2864904.171,12.487,,cca_main.bpmn,1,
46,703.0722,40.59,2865012.517,2865020.8405,8.3235,title-for-questionID_1,cca_main.bpmn,1,
47,711.2069,39.2694,2865029.1455,2865037.478,8.3325,,cca_main.bpmn,1,
51,628.9545,35.5585,2865245.788,2865262.48,16.692,,cca_main.bpmn,1,0.7697
53,762.1146,48.4998,2865404.128,2865429.1165,24.9885,title-for-questionID_1,cca_main.bpmn,1,0.9994
54,770.2315,48.9538,2865437.4705,2865462.454,24.9835,title-for-questionID_1,cca_main.bpmn,1,0.9131
55,761.4727,50.7429,2865470.795,2865479.1275,8.3325,title-for-questionID_1,cca_main.bpmn,1,
56,772.1057,48.545,2865487.4745,2865504.1105,16.636,title-for-questionID_1,cca_main.bpmn,1,0.316
57,762.6852,53.0983,2865520.7605,2865529.0925,8.332,title-for-questionID_1,cca_main.bpmn,1,
58,771.8325,53.2112,2865545.7725,2865570.7665,24.994,title-for-questionID_1,cca_main.bpmn,1,0.3472
59,794.4249,55.6716,2865595.7715,2865620.764,24.9925,title-for-questionID_1,cca_main.bpmn,1,0.2897
60,800.0783,44.5583,2865629.0815,2865637.413,8.3315,title-for-questionID_1,cca_main.bpmn,1,
61,794.7115,49.5759,2865645.7575,2865720.7425,74.985,title-for-questionID_1,cca_main.bpmn,1,1.1693
62,865.4715,43.6643,2865770.749,2865779.0725,8.3235,title-for-questionID_1,cca_main.bpmn,1,
63,864.3679,46.9937,2865787.4205,2865845.7735,58.353,title-for-questionID_1,cca_main.bpmn,1,0.9697
64,861.7025,52.051,2865854.0935,2865904.0665,49.973,title-for-questionID_1,cca_main.bpmn,1,1.036
65,628.1596,586.0195,2866287.35,2866295.6815,8.3315,Activity_1e5lryq,cca_main.bpmn,1,
66,638.1139,575.484,2866329.0205,2866345.667,16.6465,Activity_1e5lryq,cca_main.bpmn,1,0.3917
67,646.3531,587.0065,2866391.5245,2866404.0145,12.49,Activity_1e5lryq,cca_main.bpmn,1,
68,652.2078,583.0415,2866487.32,2866504.0065,16.6865,Activity_1e5lryq,cca_main.bpmn,1,0.9258
69,877.0476,484.3581,2866795.6345,2866803.9705,8.336,Activity_1mcpixv,cca_main.bpmn,1,
70,1120.3776,702.7682,2867541.4405,2867566.401,24.9605,cca_2_createcustomer,cca_main.bpmn,1,0.8198
71,1123.5623,689.2623,2867641.38,2867653.8825,12.5025,cca_2_createcustomer,cca_main.bpmn,1,
72,1143.4376,666.8629,2868253.8175,2868262.143,8.3255,cca_2_createcustomer,cca_main.bpmn,1,
73,1355.4073,590.112,2868341.308,2868353.7945,12.4865,cca_3_ratecustomer,cca_main.bpmn,1,
74,1347.7813,586.5681,2868445.4465,2868453.808,8.3615,cca_3_ratecustomer,cca_main.bpmn,1,
75,1366.4239,570.1962,2868462.1325,2868470.4285,8.296,cca_3_ratecustomer,cca_main.bpmn,1,
76,1359.6693,586.054,2868537.1225,2868545.4695,8.347,cca_3_ratecustomer,cca_main.bpmn,1,
77,1356.956,590.8188,2868553.7855,2868595.432,41.6465,cca_3_ratecustomer,cca_main.bpmn,1,0.8217
78,1365.4198,580.8443,2868603.7485,2868612.1,8.3515,cca_3_ratecustomer,cca_main.bpmn,1,
79,1367.5176,585.1517,2868641.2715,2868653.762,12.4905,cca_3_ratecustomer,cca_main.bpmn,1,
80,1362.1354,592.3953,2868662.1215,2868687.0965,24.975,cca_3_ratecustomer,cca_main.bpmn,1,0.4023
81,1355.7171,606.688,2868728.763,2868737.088,8.325,cca_3_ratecustomer,cca_main.bpmn,1,
82,1362.7534,582.4284,2868753.7415,2868762.111,8.3695,cca_3_ratecustomer,cca_main.bpmn,1,
83,1358.3895,585.7122,2868770.432,2868778.737,8.305,cca_3_ratecustomer,cca_main.bpmn,1,
84,1350.6054,580.0458,2868878.771,2868887.1535,8.3825,cca_3_ratecustomer,cca_main.bpmn,1,
85,1330.0621,592.3016,2868978.7055,2868987.039,8.3335,cca_3_ratecustomer,cca_main.bpmn,1,
86,1340.0379,590.2276,2869053.7225,2869062.063,8.3405,cca_3_ratecustomer,cca_main.bpmn,1,
87,1329.8557,587.7955,2869187.0475,2869195.383,8.3355,cca_3_ratecustomer,cca_main.bpmn,1,
88,1333.7908,576.0497,2869203.7545,2869212.0555,8.301,cca_3_ratecustomer,cca_main.bpmn,1,
89,1333.0056,575.2967,2869237.0155,2869245.356,8.3405,cca_3_ratecustomer,cca_main.bpmn,1,
90,1326.6559,582.3558,2869316.1875,2869328.681,12.4935,cca_3_ratecustomer,cca_main.bpmn,1,
91,1316.6455,605.3347,2869337.0285,2869345.3615,8.333,cca_3_ratecustomer,cca_main.bpmn,1,
92,1336.1411,583.157,2869378.673,2869387.0165,8.3435,cca_3_ratecustomer,cca_main.bpmn,1,
93,1106.6157,700.5173,2869970.269,2869978.596,8.327,cca_2_createcustomer,cca_main.bpmn,1,
94,1106.2067,689.7825,2870116.141,2870128.607,12.466,cca_2_createcustomer,cca_main.bpmn,1,
95,1114.9384,674.7146,2870336.888,2870345.2205,8.3325,cca_2_createcustomer,cca_main.bpmn,1,
96,1108.7298,699.5518,2870570.1935,2870578.5275,8.334,cca_2_createcustomer,cca_main.bpmn,1,
97,1090.1629,695.207,2870678.5875,2870691.032,12.4445,cca_2_createcustomer,cca_main.bpmn,1,
98,1103.813,681.413,2870911.882,2870920.214,8.332,cca_2_createcustomer,cca_main.bpmn,1,
99,847.2944,491.717,2871528.4195,2871536.7535,8.334,Activity_1mcpixv,cca_main.bpmn,1,
100,1326.9426,621.2917,2872065.923,2872078.4355,12.5125,cca_3_ratecustomer,cca_main.bpmn,1,
101,1343.367,571.0167,2872103.381,2872111.7145,8.3335,cca_3_ratecustomer,cca_main.bpmn,1,
102,647.3072,67.2382,2872295.0035,2872303.335,8.3315,title-for-questionID_1,cca_main.bpmn,1,
103,660.6782,83.4169,2872311.6675,2872320.0005,8.333,answer_area_for_questionID_1,cca_main.bpmn,1,
104,650.1315,70.7117,2872328.334,2872361.6635,33.3295,title-for-questionID_1,cca_main.bpmn,1,0.6335
105,661.1654,72.43,2872369.9945,2872394.9935,24.999,title-for-questionID_1,cca_main.bpmn,1,0.705
106,578.1328,52.7278,2872436.655,2872453.369,16.714,title-for-questionID_1,cca_main.bpmn,1,0.3805
