questionTimestamp,questionEventType,questionText,questionAnswer,questionPosition,questionID,eventSource,Timestamp,validLeft,validRight,leftPupilValidity,rightPupilValidity,leftPupilDiameter,rightPupilDiameter,snapshotId,currentQuestion,clickTimestamp,clickedElement,leftX,leftY,rightX,rightY,x,y,leftDistance,rightDistance,tabName,element
1664897224665,questionOnset,Is it possible to create a credit card without rating the customer?,,0,1,questionnaire,,,,,,,,,,,,,,,,,,,,,
,,,,,,eye-tracker,2862600.257,1,1,0,0,,,0,1,,,768.7486,224.501,787.415,238.3855,778.0818,231.4433,65.9828,65.6039,cca_main.bpmn,
,,,,,,eye-tracker,2862608.586,1,1,1,1,2.5249,2.6446,0,1,,,771.2377,227.416,794.7355,239.871,782.9866,233.6435,65.9723,65.6019,cca_main.bpmn,
,,,,,,eye-tracker,2862616.918,1,1,0,0,,,0,1,,,767.8386,231.0364,794.516,239.1025,781.1773,235.0694,65.9534,65.5924,cca_main.bpmn,
,,,,,,eye-tracker,2862625.253,1,1,0,0,,,0,1,,,758.203,243.7442,795.9201,241.9905,777.0616,242.8674,65.9411,65.5906,cca_main.bpmn,
,,,,,,eye-tracker,2862633.685,1,1,1,1,2.5326,2.6124,0,1,,,734.7891,223.3128,779.3108,218.8171,757.0499,221.0649,65.9329,65.5899,cca_main.bpmn,
,,,,,,eye-tracker,2862641.911,1,1,0,0,,,0,1,,,715.9754,191.5671,757.274,177.5389,736.6247,184.553,65.8993,65.5521,cca_main.bpmn,
,,,,,,eye-tracker,2862650.255,1,1,0,0,,,0,1,,,691.6378,133.347,717.7767,120.1276,704.7072,126.7373,65.8841,65.5347,cca_main.bpmn,option-answer-for-questionID_1_option_I don't know
,,,,,,eye-tracker,2862658.661,1,1,1,1,2.4932,2.6312,0,1,,,691.0527,103.1661,705.1866,82.4128,698.1196,92.7894,65.8857,65.5225,cca_main.bpmn,option-answer-for-questionID_1_option_I don't know
,,,,,,eye-tracker,2862666.909,1,1,0,0,,,0,1,,,700.6096,100.1739,697.4789,73.133,699.0442,86.6534,65.8949,65.5124,cca_main.bpmn,answer_area_for_questionID_1
,,,,,,eye-tracker,2862675.246,1,1,0,0,,,0,1,,,700.7548,100.1354,698.2382,76.3459,699.4965,88.2407,65.9254,65.5042,cca_main.bpmn,answer_area_for_questionID_1
,,,,,,eye-tracker,2862683.576,1,1,1,1,2.4913,2.5073,0,1,,,687.5416,85.8765,697.3341,77.5698,692.4379,81.7231,65.9537,65.5018,cca_main.bpmn,answer_area_for_questionID_1
,,,,,,eye-tracker,2862691.913,1,1,0,0,,,0,1,,,683.6521,74.6312,699.044,71.1173,691.3481,72.8742,66.0808,65.4595,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862700.243,1,1,0,0,,,0,1,,,683.6078,75.8722,702.8283,68.6576,693.218,72.2649,66.1137,65.4621,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862708.575,1,1,1,1,2.3526,2.5212,0,1,,,682.3598,65.5742,703.4789,73.3413,692.9193,69.4577,66.1179,65.4702,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862716.953,1,0,0,0,,,0,1,,,683.7527,70.0899,,,683.7527,70.0899,66.1103,,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862725.241,1,1,0,0,,,0,1,,,683.6605,72.6765,696.8871,72.5215,690.2738,72.599,66.1077,65.4754,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862733.571,1,1,1,1,2.3399,2.4098,0,1,,,683.4206,73.473,698.3783,65.9615,690.8994,69.7173,66.1096,65.484,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862741.936,1,1,0,0,,,0,1,,,678.8971,60.3579,697.7362,63.7619,688.3166,62.0599,66.1023,65.4837,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862750.274,1,1,0,0,,,0,1,,,675.6412,58.5877,700.902,61.7659,688.2716,60.1768,66.103,65.4897,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862758.595,1,1,1,1,2.2779,2.3658,0,1,,,679.0443,68.1961,697.7379,59.7368,688.3911,63.9664,66.1072,65.4969,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862766.988,1,1,0,0,,,0,1,,,681.5797,85.5048,697.2869,57.6429,689.4333,71.5738,66.106,65.4951,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862775.238,1,1,0,0,,,0,1,,,687.4884,82.6872,696.7932,59.3399,692.1408,71.0135,66.1086,65.5004,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862783.653,1,1,1,1,2.2668,2.3434,0,1,,,693.1612,61.9641,695.4871,60.1187,694.3242,61.0414,66.1148,65.5084,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862791.898,1,1,0,0,,,0,1,,,692.8693,60.0919,690.4088,56.5617,691.639,58.3268,66.1146,65.5079,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862800.232,1,1,0,0,,,0,1,,,688.2963,60.2688,689.6816,55.8289,688.9889,58.0488,66.1213,65.5134,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862808.563,1,1,1,1,2.192,2.2874,0,1,,,685.088,65.4798,691.9194,49.4294,688.5037,57.4546,66.1313,65.5188,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862816.955,1,1,0,0,,,0,1,,,679.9096,71.1822,705.7146,46.266,692.8121,58.7241,66.1336,65.515,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862825.231,1,1,0,0,,,0,1,,,681.2769,69.659,699.3143,52.8882,690.2956,61.2736,66.1413,65.518,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862833.56,1,1,1,1,2.2187,2.2873,0,1,,,686.7245,68.9078,700.3744,57.5825,693.5494,63.2452,66.1499,65.5231,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862841.899,1,1,0,0,,,0,1,,,692.8478,66.2031,700.118,54.0518,696.4829,60.1275,66.1429,65.5193,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862850.234,1,1,0,0,,,0,1,,,687.1874,61.1491,698.6689,51.6732,692.9281,56.4112,66.1357,65.5223,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862858.559,1,1,1,1,2.1407,2.2549,0,1,,,684.9108,60.4831,691.5849,53.8083,688.2479,57.1457,66.1261,65.5264,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862866.898,1,1,0,0,,,0,1,,,688.5009,57.9709,693.5344,54.1391,691.0177,56.055,66.1033,65.5218,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862875.224,1,1,0,0,,,0,1,,,688.6579,57.8859,679.3906,48.3383,684.0243,53.1121,66.0843,65.5243,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862883.659,0,1,0,1,,2.2843,0,1,,,,,647.6057,38.7656,647.6057,38.7656,,65.5286,cca_main.bpmn,
,,,,,,eye-tracker,2862891.924,1,1,0,0,,,0,1,,,621.3749,57.2109,571.4116,20.4977,596.3933,38.8543,66.0465,65.5244,cca_main.bpmn,
,,,,,,eye-tracker,2862900.228,1,1,0,0,,,0,1,,,537.8938,40.3434,558.1673,25.5159,548.0305,32.9297,66.0237,65.527,cca_main.bpmn,
,,,,,,eye-tracker,2862908.551,1,1,1,1,2.1569,2.2365,0,1,,,537.8008,39.2895,545.3833,35.2053,541.592,37.2474,66.0032,65.5311,cca_main.bpmn,
,,,,,,eye-tracker,2862916.912,1,1,0,0,,,0,1,,,537.3596,42.2723,535.4022,37.4223,536.3809,39.8473,65.9724,65.5273,cca_main.bpmn,
,,,,,,eye-tracker,2862925.216,1,1,0,0,,,0,1,,,536.6849,44.0807,535.6193,40.8617,536.1521,42.4712,65.9471,65.5272,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2862933.645,0,1,0,1,,2.2461,0,1,,,,,537.1565,32.5615,537.1565,32.5615,,65.5299,cca_main.bpmn,
,,,,,,eye-tracker,2862941.913,1,1,0,0,,,0,1,,,540.8904,41.1364,545.7725,21.348,543.3314,31.2422,65.9028,65.5202,cca_main.bpmn,
,,,,,,eye-tracker,2862950.214,1,1,0,0,,,0,1,,,541.9352,33.9525,545.7725,21.348,543.8538,27.6502,65.8851,65.5139,cca_main.bpmn,
,,,,,,eye-tracker,2862958.657,0,1,0,1,,2.2601,0,1,,,,,539.3798,39.8609,539.3798,39.8609,,65.5116,cca_main.bpmn,
,,,,,,eye-tracker,2862966.877,1,1,0,0,,,0,1,,,537.5426,33.4232,536.047,39.9428,536.7948,36.683,65.8519,65.5025,cca_main.bpmn,
,,,,,,eye-tracker,2862975.213,1,1,0,0,,,0,1,,,532.5643,41.4242,540.923,28.3596,536.7437,34.8919,65.8229,65.5019,cca_main.bpmn,
,,,,,,eye-tracker,2862983.635,1,1,1,1,2.0726,2.2522,0,1,,,533.9763,43.5996,539.6163,28.262,536.7963,35.9308,65.803,65.5064,cca_main.bpmn,
,,,,,,eye-tracker,2862991.876,1,1,0,0,,,0,1,,,533.2608,48.3667,543.1289,26.6851,538.1949,37.5259,65.7618,65.5026,cca_main.bpmn,
,,,,,,eye-tracker,2863000.218,1,1,0,0,,,0,1,,,533.6869,43.2243,542.2236,34.985,537.9552,39.1047,65.7176,65.5057,cca_main.bpmn,
