FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,element,tabName,questionID,participantID,file
1,903.6667,218.5833,906890.238,906990.2295,99.9915,0.1932,,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
2,428.978,176.0661,907056.8575,907256.815,199.9575,0.2466,,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
3,830.3178,451.2989,907356.8185,907465.134,108.3155,0.3341,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
4,942.7589,536.0166,907548.4505,907690.114,141.6635,0.3254,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
5,846.4179,782.3731,907931.8095,908106.726,174.9165,0.4435,main,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
6,812.2534,787.7986,908140.075,908231.769,91.694,0.6312,Flow_04x96mq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
7,684.1628,710.5855,908306.728,908523.3705,216.6425,0.4195,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
8,520.6786,522.2143,908806.648,908923.3115,116.6635,0.201,Activity_01xlj63,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
9,442.4671,511.7662,908990.0055,909123.2865,133.281,0.2553,Activity_1dnlk3d,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
10,456.1888,527.0327,909139.9965,909289.9795,149.983,0.2731,Activity_1dnlk3d,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
11,591.4358,499.1175,909323.276,909481.5765,158.3005,0.2694,Activity_01xlj63,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
12,638.92,87.18,909539.953,909748.232,208.279,0.2583,answer_area_for_questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
13,583.1766,104.947,909773.212,910489.8055,716.5935,0.2295,option-answer-for-questionID_1_option_No,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
14,718.237,100.5832,910514.7855,910839.7405,324.955,0.2311,option-answer-for-questionID_1_option_I don't know,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
15,154.1111,160.5,910914.746,910989.7385,74.9925,0.2166,,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
16,165.7357,179.7315,910998.0715,911123.0415,124.97,0.315,tab-link-to_amazon-smart-shelfs.bpmn,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
